Instance;Obj;requests;vars;int;cnstr;cpu;gap;lb;relaxed bound;relaxed cpu
K10-C60-T2-V14-P4;3860.18;1278;35174;28676;20096;1800.005;0.097;3487.32;3069.086;2.145
K10-C60-T2-V8-P4;4402.37;1278;33734;28436;15524;1800.003;0.131;3826.43;3376.045;2.447
K11-C60-T2-V15-P1;256.1;306;12292;8004;11840;1800.007;0.019;251.3;6.259;0.064
K11-C60-T2-V15-P2;1740.14;774;24652;19236;16458;1800.003;0.029;1689.99;1287.42;0.87
K11-C60-T2-V9-P1;242.98;306;11500;7740;8132;1800.002;0.019;238.48;6.259;0.055
K11-C60-T2-V9-P2;2005.2;774;23596;18972;12222;1800.002;0.041;1922.1;1558.617;0.525
K12-C60-T2-V10-P3;3052.19;1053;33735;27858;16993;1800.023;0.148;2599.42;2078.783;1.148
K12-C60-T2-V17-P3;2736.6;1053;35415;28194;23391;1800.024;0.136;2365.68;1805.69;1.195
K15-C90-T2-V13-P2;2780.76;1106;45048;36172;24030;1800.007;0.057;2622.82;2166.723;2.824
K15-C90-T2-V22-P2;2760.31;1106;47208;36712;34848;1800.026;0.037;2657.67;2048.085;2.258
K16-C90-T2-V14-P3;4964.66;1589;65887;54922;32461;1800.043;0.149;4224.15;3651.152;3.856
K16-C90-T2-V14-P4;6447.86;1969;80083;67842;36945;1800.369;0.141;5541.36;5011.083;8.865
K16-C90-T2-V24-P3;4364.61;1589;69087;55562;47201;1800.008;0.093;3958.9;3333.893;5.83
K16-C90-T2-V24-P4;5986.9;1969;83923;68482;52965;1800.082;0.147;5104.09;4536.686;8.202
K17-C90-T2-V15-P1;269.85;449;25827;17184;24217;1800.003;0.192;218.11;8.724;0.139
K17-C90-T2-V25-P1;231.67;449;27867;17864;37837;1800.003;0.075;214.28;8.724;0.207
K21-C120-T2-V19-P1;591.63;728;47670;33628;44286;1800.027;0.08;544.59;29.272;0.372
K21-C120-T2-V19-P2;2981.03;1338;76716;60468;51790;1800.009;0.135;2579.89;2109.203;5.392
K21-C120-T2-V32-P1;700.33;728;50946;34720;70520;1800.057;0.155;592.07;27.914;0.634
K21-C120-T2-V32-P2;2612.37;1338;81084;61560;80208;1800.018;0.075;2415.91;1835.332;7.918
K22-C120-T2-V20-P3;6434.25;2188;122240;102408;67338;1800.026;0.142;5522.62;4754.632;8.792
K22-C120-T2-V34-P3;5561.53;2188;128400;103640;103094;1800.059;0.092;5048.72;4320.396;10.274
K23-C120-T2-V21-P4;9012.82;2744;157134;133644;82072;1800.027;0.186;7334.38;6417.228;24.365
K23-C120-T2-V36-P4;8114.45;2744;165414;135024;126262;1800.165;0.14;6981.7;5837.359;31.825
K5-C30-T2-V3-P1;290.25;172;3026;2124;1902;36.67;0.0;290.25;122.24;0.015
K5-C30-T2-V3-P2;1144.95;388;5894;4716;3544;343.401;0.0;1144.95;952.529;0.048
K5-C30-T2-V3-P3;1898.89;477;7111;5784;4297;337.099;0.0;1898.89;1301.605;0.087
K5-C30-T2-V3-P4;2488.87;709;10187;8568;6051;1800.006;0.007;2472.06;2034.742;0.217
K5-C30-T2-V6-P1;135.98;172;3206;2184;2388;89.166;0.0;135.98;3.023;0.016
K5-C30-T2-V6-P2;792.12;388;6134;4776;4150;1800.004;0.019;776.78;615.196;0.069
K5-C30-T2-V6-P3;1301.59;477;7411;5844;5023;1800.004;0.028;1265.57;985.133;0.129
K5-C30-T2-V6-P4;2197.51;709;10547;8628;6897;1800.001;0.077;2028.09;1619.188;0.247
