Instance;Obj;cpu;m_best;m_bound
K10-C60-T2-V14-P4;3949.9;1504.936;3858.88;3487.64
K10-C60-T2-V8-P4;4753.52;677.331;4399.55;3826.52
K11-C60-T2-V15-P1;271.04;61.776;256.1;251.42
K11-C60-T2-V15-P2;1762.28;797.499;1740.14;1690.11
K11-C60-T2-V9-P1;242.98;114.845;242.98;238.54
K11-C60-T2-V9-P2;2125.34;331.88;2005.2;1922.43
K12-C60-T2-V10-P3;3284.87;954.504;3051.26;2599.94
K12-C60-T2-V17-P3;2595.58;1160.736;2735.29;2366.31
K15-C90-T2-V13-P2;2812.99;938.908;2780.76;2623.2
K15-C90-T2-V22-P2;2771.0;1063.983;2760.31;2658.07
K16-C90-T2-V14-P3;5541.99;945.767;4964.66;4224.69
K16-C90-T2-V14-P4;7123.07;1096.869;6447.41;5541.52
K16-C90-T2-V24-P3;4364.67;1495.751;4364.61;3958.96
K16-C90-T2-V24-P4;5987.62;1576.293;5989.95;5103.81
K17-C90-T2-V15-P1;356.77;463.886;269.85;218.34
K17-C90-T2-V25-P1;231.67;614.073;231.67;214.39
K21-C120-T2-V19-P1;693.16;824.242;591.63;545.83
K21-C120-T2-V19-P2;2827.95;1555.317;2983.94;2579.68
K21-C120-T2-V32-P1;645.25;958.182;691.75;592.66
K21-C120-T2-V32-P2;2616.89;1838.517;2612.37;2415.75
K22-C120-T2-V20-P3;6791.93;1322.751;6434.29;5522.25
K22-C120-T2-V34-P3;5498.08;1856.025;5561.55;5048.63
K23-C120-T2-V21-P4;9506.79;1413.891;9012.82;7334.38
K23-C120-T2-V36-P4;7948.08;2119.95;8114.45;6980.17
K5-C30-T2-V3-P1;309.33;3.024;290.25;290.25
K5-C30-T2-V3-P2;1201.25;7.441;1144.95;1144.95
K5-C30-T2-V3-P3;2032.04;4.515;1898.89;1898.89
K5-C30-T2-V3-P4;2925.44;45.265;2488.87;2472.59
K5-C30-T2-V6-P1;135.98;8.252;135.98;135.98
K5-C30-T2-V6-P2;797.28;70.537;792.12;776.88
K5-C30-T2-V6-P3;1405.21;119.627;1301.59;1266.15
K5-C30-T2-V6-P4;2393.67;1083.828;2197.51;2028.3
